Spiel Nr.,Runde Nr.,Banner Striche,Banner Punkte,AGMüller Striche,AGMüller Punkte,Champion Striche,Champion Punkte,Verfolger Striche,Verfolger Punkte,Partner von Verfolger,Datum,Ort,Lat,Lon
1,1,0,2129,0,2129,3,2500,3,2500,Champion,21.10.2010,Dini Muetter,47.37478,8.524643
1,2,0,3957,4,4943,3,4328,7,5314,AGMüller,28.10.2010,Tonneau Bar,47.371473,8.527822
1,3,0,5488,7,7474,6,6859,7,6845,Banner,23.11.2010,Älpli Bar,47.37136,8.54355
1,4,0,7825,7,9811,10,9606,11,9592,Champion,30.11.2010,Sterne Albisrieden,47.375185,8.484486
1,5,1,9938,9,12348,11,11719,13,12129,AGMüller,11.01.2011,Eisenhof,47.383686,8.528716
1,6,4,12456,10,14531,12,13902,16,14647,Banner,10.02.2011,Burestube,47.386398,8.529014
2,1,0,2252,0,2252,4,2728,4,2728,Champion,29.03.2011,Die Tomate,47.381897,8.533856
2,2,0,3935,6,5349,4,4411,10,5825,AGMüller,18.04.2011,Penalty Bar,47.371453,8.528604
2,3,4,6513,6,6816,4,5878,14,8413,Banner,12.05.2011,Zürcherhof,47.406775,8.550689
2,4,4,8883,6,9186,7,8468,17,11003,Champion,06.06.2011,Moléson,47.372597,8.525974
2,5,8,11463,7,11280,11,11048,18,13097,AGMüller,09.08.2011,Hardhof,47.378173,8.510821
2,6,11,13992,8,13368,12,13136,21,15626,Banner,17.11.2011,Körnerstube,47.373998,8.52226
3,1,0,2432,0,2434,3,2597,3,2597,Champion,22.12.2011,Bei AGMüller Zuhause,47.34278,8.55251
3,2,3,4452,3,5063,3,4615,6,5226,AGMüller,10.01.2012,Bei Banner Zuhause,47.34278,8.55251
3,3,3,6969,3,6740,3,6292,9,7733,Banner,07.02.2012,Bei Verfolger Zuhause,47.34278,8.55251
3,4,3,8560,3,8331,7,8821,13,10272,Champion,21.02.2012,Bei Champion Zuhause,47.34278,8.55251
3,5,7,11121,3,10286,11,11382,13,12227,AGMüller,05.06.2012,Rheinfelder Bierhalle,47.375917,8.544128
3,6,7,13136,6,12818,14,13914,13,14242,Banner,25.06.2012,Bahnhof Wiedikon,47.37099,8.523365
4,1,2,2443,2,2443,3,2676,3,2676,Champion,10.07.2012,Incrocio,47.397221,8.540868
4,2,4,5013,3,4715,5,5246,4,4948,AGMüller,16.08.2012,Lindenhof ,47.387927,8.481423
4,3,4,7074,6,7226,8,7757,4,7009,Banner,28.08.2012,Löwenbar,47.390883,8.528015
4,4,5,8761,7,8913,13,10571,9,9823,Champion,18.09.2012,Grünwald,47.417883,8.482612
4,,7,10898,9,11050,16,13453,12,12705,Champion,17.12.2012,Bierstube Scheidegg,47.369989,8.51839
4,5,11,13705,10,13691,20,16260,13,15346,AGMüller,25.02.2013,Jackys Wok,47.370744,8.52078
4,6,14,15712,10,15652,20,18221,16,17853,Banner,06.05.2013,Schlachthof,47.383517,8.506054
5,1,0,2139,0,2139,4,2576,4,2576,Champion,10.06.2013,Werkhof,47.3794398,8.5236772
